1   1 42 2 2 7882  1 4 2 3 3 4 2 45  3 3 1 3 2 1 
2   1 24 3 0 4870  1 3 3 3 1 4 4 53  3 3 2 3 2 1 
3   4 36 2 6 9055  5 3 2 3 1 4 4 35  3 3 1 2 2 2 
4   4 24 2 2 2835  3 5 3 3 1 4 2 53  3 2 1 3 1 1 
5   2 36 2 1 6948  1 3 2 3 1 2 3 35  3 1 1 4 1 2 
6   4 12 2 3 3059  4 4 2 1 1 4 1 61  3 2 1 2 1 1 
7   2 30 9 0 5234  1 1 4 4 1 2 3 28  3 2 2 4 1 1 
8   2 12 2 0 1295  1 2 3 2 1 1 3 25  3 1 1 3 1 1 
9   1 48 2 9 4308  1 2 3 2 1 4 2 24  3 1 1 3 1 1 
10  1 30 0 9 8072  5 2 2 3 1 3 3 25  1 2 3 3 1 1 
11  2 24 2 1 12579 1 5 4 2 1 2 4 44  3 3 1 4 1 2 
12  4 24 2 3 3430  3 5 3 3 1 2 3 31  3 2 1 3 2 2 
13  4 9  4 0 2134  1 3 4 3 1 4 3 48  3 2 3 3 1 2 
14  1 6  2 3 2647  3 3 2 3 1 3 1 44  3 1 1 3 2 1 
15  1 10 4 0 2241  1 2 1 3 1 3 1 48  3 1 2 2 2 1 1
16  4 10 4 2 2069  5 3 2 4 1 1 3 26  3 2 2 3 1 1 1
17  4 6  0 3 426   1 5 4 4 1 4 3 39  3 2 1 2 1 1 
18  2 7  2 3 2415  1 3 3 3 3 2 1 34  3 2 1 3 1 1 
19  2 18 2 9 1913  4 2 3 9 1 3 1 36  1 2 1 3 1 2 
20  2 18 2 0 5866  2 3 2 3 1 2 3 30  3 2 2 3 1 2 
21  4 12 4 9 1264  5 5 4 3 1 4 4 57  3 1 1 2 1 1 
22  4 48 4 6 6110  1 3 1 3 1 3 4 31  1 3 1 3 1 2 
23  3 18 2 3 2100  1 3 4 3 2 2 1 37  2 2 1 3 1 1 
24  3 10 2 4 1225  1 3 2 3 1 2 3 37  3 2 1 3 1 2 
25  2 12 2 3 1158  3 3 3 1 1 1 3 26  3 2 1 3 1 2 
26  2 18 3 5 6204  1 3 2 3 1 4 1 44  3 2 1 2 2 2 
27  1 30 4 1 6187  2 4 1 4 1 4 3 999 3 1 2 3 1 1 
28  1 48 4 1 6143  1 5 4 2 1 4 4 58  2 3 2 2 1 1 
29  4 11 4 0 1393  1 2 4 2 1 4 3 35  3 2 2 4 1 1 
30  4 36 2 3 2299  3 5 4 3 1 4 3 39  3 2 1 3 1 1 
31  1 6  2 1 1352  3 1 1 2 1 2 2 23  3 1 1 1 1 2 
32  4 11 4 0 7228  1 3 1 3 1 4 2 39  3 2 2 2 1 1 
33  4 12 2 3 2073  2 3 4 2 2 2 1 28  3 2 1 3 1 1 
34  2 24 3 2 2333  5 2 4 3 1 2 2 29  1 2 1 2 1 1 
35  4 18 2 1 3378  5 3 2 3 1 1 2 31  3 2 1 3 1 2 
36  4 6  1 0 783   5 3 1 3 3 2 1 26  2 2 1 2 2 1 
37  4 36 9 3 9566  1 3 2 2 1 2 3 31  2 2 2 3 1 1 
38  3 18 2 0 1961  1 5 3 2 1 2 3 23  3 2 1 4 1 1 
39  2 9  2 9 1391  1 3 2 4 1 1 1 27  1 2 1 3 1 2 
40  2 48 0 9 14421 1 3 2 3 1 2 3 25  3 2 1 3 1 2 
41  4 24 2 3 3181  1 2 4 2 1 4 2 26  3 2 1 3 1 2 
42  2 12 2 0 1007  4 3 4 4 1 1 1 22  3 2 1 3 1 1 
43  4 36 2 6 1819  1 3 4 3 1 4 4 37  2 3 1 3 1 2 
44  4 36 2 3 2394  5 3 4 2 1 4 3 25  3 2 1 3 1 1 
45  1 36 2 6 1977  5 5 4 3 1 4 4 40  3 2 1 4 1 2 
46  2 11 3 3 4771  1 4 2 3 1 4 2 51  3 2 1 3 1 1 
47  4 54 0 1 9436  5 3 2 3 1 2 2 39  3 2 1 2 2 1 
48  1 24 2 X 1755  1 5 4 2 3 4 1 58  3 2 1 2 1 2 
49  4 12 4 9 1412  1 3 4 2 3 2 1 29  3 2 2 4 1 2 
50  1 18 2 0 2249  2 4 4 3 1 3 3 30  3 2 1 4 2 2 
51  4 12 4 3 618   1 5 4 3 1 4 1 999 3 2 1 3 1 1 
52  4 12 4 3 797   5 5 4 2 1 3 2 33  1 2 1 2 2 1 
53  3 24 4 2 3617  5 5 4 3 2 4 4 20  3 1 2 3 1 1 
54  2 54 0 9 15945 1 2 3 3 1 4 4 58  3 1 1 3 1 2 
55  4 12 9 6 2012  5 4 4 2 1 2 3 61  3 2 1 3 1 1 
56  2 36 2 3 2323  1 4 4 3 1 4 3 24  3 1 1 3 1 1 
57  4 6  3 3 932   1 3 3 2 1 2 1 24  3 2 1 3 1 1 
58  4 18 1 0 6458  1 5 2 3 1 4 4 39  1 2 2 4 2 2 
59  2 12 2 0 6078  1 4 2 3 1 2 3 32  3 2 1 3 1 1 
60  2 18 2 0 6260  1 4 3 3 1 3 1 28  3 1 1 2 1 1 
61  1 10 4 2 2132  5 2 2 2 2 3 1 27  3 1 2 3 1 1 1
62  1 33 4 2 4281  3 3 1 2 1 4 3 23  3 2 2 3 1 1 
63  2 12 4 0 2366  3 4 3 1 1 3 3 36  3 2 1 4 1 2 
64  1 21 2 3 1835  1 3 3 2 1 2 1 25  3 2 2 3 1 2 
65  4 24 4 1 3868  1 5 4 2 1 2 3 41  3 1 2 4 1 2 
66  3 10 4 0 781   1 5 4 3 1 4 4 63  3 3 2 3 1 2 
67  2 18 2 2 1924  5 2 4 2 1 3 1 27  3 1 1 3 1 1 
68  2 12 2 5 639   1 3 4 3 1 2 3 30  3 2 1 3 1 1 
69  4 15 2 2 2708  1 2 2 3 1 3 2 27  1 2 2 2 1 1 
70  4 18 2 2 1984  1 3 4 3 1 4 4 47  1 3 2 3 1 1 
71  4 60 2 3 10144 2 4 2 2 1 4 1 21  3 2 1 3 1 2 
72  3 12 2 3 1881  1 3 2 2 1 2 3 44  3 1 1 2 1 2 
73  3 6  9 0 709   4 2 2 4 1 2 1 27  3 2 1 1 1 1 1
74  1 27 2 3 3416  1 3 3 3 1 2 3 27  3 2 1 4 1 1 
75  1 18 2 2 2462  1 3 2 3 1 2 3 22  3 2 1 3 1 1 
76  4 21 4 2 2288  1 2 4 2 1 4 2 23  3 2 1 3 1 2 
77  1 6  4 0 860   1 5 1 2 1 4 4 39  3 2 2 3 1 2 
78  4 12 4 0 682   2 4 4 2 1 3 3 51  3 2 2 3 1 2 
79  4 18 4 3 1582  4 5 4 3 1 4 3 46  3 2 2 3 1 1 
80  3 36 2 3 5848  1 3 4 3 1 1 3 999 3 2 1 3 1 1 
81  2 24 4 1 7758  4 5 2 2 1 4 4 29  3 1 1 3 1 1 
82  2 24 3 9 6967  2 4 4 3 1 4 3 999 3 1 1 4 1 2 
83  1 12 2 2 1282  1 3 2 2 1 4 3 20  3 1 1 3 1 1 
84  1 9  4 5 1288  2 5 3 3 3 4 1 48  3 2 2 3 2 1 1
85  4 24 4 3 2872  2 5 3 3 1 4 1 36  3 2 1 3 2 2 
86  2 10 2 0 7308  1 1 2 3 1 4 4 70  1 3 1 4 1 2 
87  4 6  2 2 2978  3 3 1 3 1 2 3 32  3 2 1 3 1 2 
88  2 24 3 2 2064  1 1 3 2 1 2 2 34  3 2 1 4 1 2 
89  2 8  2 3 1414  1 3 4 3 3 2 1 33  3 2 1 3 1 1 1
90  4 30 1 1 7485  5 1 4 2 1 1 1 53  1 2 1 4 1 2 
91  1 6  4 3 338   3 5 4 3 1 4 3 52  3 2 2 3 1 1 
92  4 12 2 3 1963  1 4 4 3 1 2 3 31  3 1 2 4 2 2 
93  1 21 4 0 571   1 5 4 3 1 4 1 65  3 2 2 3 1 1 
94  4 36 3 9 9572  1 2 1 1 1 1 3 28  3 2 2 3 1 1 
95  2 36 3 9 4455  1 3 2 1 1 2 1 30  2 2 2 4 1 2 
96  1 21 1 0 1647  5 3 4 3 1 2 2 40  3 2 2 2 2 1 
97  4 24 4 2 3777  4 3 4 3 1 4 1 50  3 2 1 3 1 2 
98  2 9  1 1 5129  1 5 2 2 1 4 4 74  1 3 1 4 2 2 
99  1 12 2 3 674   2 4 4 4 1 1 2 20  3 2 1 3 1 1 
100 2 48 0 9 3844  2 4 4 3 1 4 4 34  3 3 1 2 2 1 
101 4 6  2 3 2108  1 4 2 4 1 2 1 29  3 1 1 3 1 1 
102 4 6  4 3 1382  1 3 1 2 1 1 3 28  3 2 2 3 1 2 
103 2 24 2 1 2760  5 5 4 3 1 4 4 36  1 3 1 3 1 2 
104 1 12 2 0 1168  1 3 4 4 1 3 1 27  3 2 1 2 1 1 
105 4 27 3 9 5117  1 4 3 3 1 4 3 26  3 2 2 3 1 1 
106 1 12 2 8 902   1 4 4 4 1 4 2 21  3 1 1 3 1 1 
107 4 12 4 0 1495  1 5 4 3 1 1 1 38  3 2 2 2 2 1 
108 2 12 4 4 1424  1 4 4 3 1 3 2 26  3 2 1 3 1 1 
109 4 12 9 1 1413  4 4 3 3 1 2 2 55  3 2 1 3 1 1 1
110 4 9  4 3 3074  5 3 1 3 1 2 1 33  3 2 2 3 2 1 
111 4 36 2 3 3835  5 5 2 2 1 4 1 45  3 2 1 2 1 2 
112 2 6  4 8 932   5 4 1 2 1 3 2 39  3 2 2 2 1 1 
113 1 24 2 2 3021  1 3 2 1 1 2 1 24  3 1 1 2 1 1 
114 4 15 2 1 4657  1 3 3 3 1 2 3 30  3 2 1 3 1 2 
115 1 12 2 2 7865  1 5 4 3 1 4 4 53  3 3 1 4 1 2 
116 4 9  2 3 1478  1 4 4 3 1 2 3 22  3 2 1 3 1 1 
117 3 36 2 3 4210  1 3 4 3 1 2 3 26  3 2 1 3 1 1 
118 4 12 2 3 2141  2 4 3 3 1 1 4 35  3 2 1 3 1 1 
119 2 18 2 3 866   1 3 4 4 3 2 1 999 3 2 1 2 1 1 
120 1 24 2 0 915   5 5 4 2 1 2 3 29  1 2 1 3 1 1 
121 4 6  2 3 1595  1 4 3 3 1 2 2 51  3 2 1 3 2 1 
122 1 48 0 1 4605  1 5 3 3 1 4 4 24  3 3 2 3 2 1 
123 4 12 4 9 1185  1 3 3 2 1 2 1 27  3 2 2 3 1 1 
124 4 12 1 8 3447  3 3 4 2 1 3 1 35  3 2 1 2 2 1 
125 4 24 2 9 1258  1 4 4 3 1 1 1 25  3 2 1 3 1 2 
126 4 12 4 3 717   1 5 4 3 1 4 1 52  3 2 3 3 1 1 
127 4 6  0 0 1204  2 3 4 9 1 1 4 35  1 1 1 3 1 1 1
128 3 12 2 2 2251  1 3 1 2 1 2 3 46  3 2 1 2 1 1 
129 4 24 3 2 4151  2 3 2 3 1 3 2 35  3 2 2 3 1 1 
