48370.5    20345.5      4       1     669.0    247.5     1
43621.0    22727.0      5       1     654.0    230.0     2
49538.0        0.0      6       1     606.0    237.0     1
50816.5        0.0      3       1     533.5    205.5     1
46490.0    22698.0      3       1     613.0    222.5     2
52071.5    22151.0      3       1     700.5    253.0     1
46041.0    22857.5      4       0     650.0    230.5     2
51725.0        0.0      5       1     617.5    240.5     3
50767.0    21369.5      2       1     563.0    244.0     1
50035.0    26064.0      5       0     847.0    292.0     1
45801.5        0.0      4       0     587.5    203.0     2
52546.0    17568.0      5       1     756.0    273.0     1
44928.5        0.0      2       0     281.0    147.5     4
48297.0    21715.5      2       0     723.0    240.5     1
43468.5    20209.0      2       1     330.0    174.0     3
47533.0        0.0      3       1     582.5    219.0     1
53316.0        0.0      3       1     554.0    206.5     1
49260.5    21567.5      3       1     618.5    229.5     1
52659.5    22514.0      4       1     567.5    214.0     1
55976.0        0.0      6       1     923.0    315.5     1
57949.5        0.0      1       1     478.5    182.0     1
45994.5        0.0      7       1     857.5    295.0     2
48452.5        0.0      4       0     464.0    206.5     3
52660.5        0.0      2       1     501.5    189.5     2
44011.0    18860.0      4       1     553.0    211.5     1
47605.0    19522.5      2       1     377.5    181.5     1
47774.5        0.0      5       0     571.5    229.5     1
57696.0        0.0      4       0     609.0    225.0     2
47366.0    21155.5      2       1     439.5    196.5     1
47742.0        0.0      1       1     319.5    151.0     2
47932.0    18255.0      5       1     633.5    238.5     3
46164.5        0.0      4       1     669.5    236.5     1
50804.5        0.0      2       0     487.5    191.5     4
45496.5        0.0      2       0     352.5    166.5     2
50182.5        0.0      2       1     389.5    179.5     1
51041.0    17661.5      5       1     912.0    289.0     2
49908.0    21527.0      2       0     376.0    180.0     1
41939.0        0.0      3       0     424.0    191.0     4
44432.0        0.0      2       1     363.5    168.0     4
45941.0        0.0      2       1     424.0    184.5     1
45653.5        0.0      2       0     372.5    179.0     3
49306.0    21115.5      3       0     547.0    233.0     1
55288.5        0.0      3       1     657.0    216.0     2
45938.0    16968.5      2       0     508.0    206.0     1
44719.0    16932.5      5       1     785.0    246.5     1
49182.0    19250.0      3       1     516.0    196.5     2
48570.5        0.0      4       1     678.5    223.5     2
50273.5    21706.5      3       1     638.5    236.5     1
50483.0        0.0      3       1     648.5    222.5     1
49963.0    22667.5      2       1     603.5    234.5     1
